sequence,label
Cysteine-Valine-Glutamine-Tryptophan-Serine-Leucine-Leucine-Arginine-Glycine-Tyrosine-Glutamine-Proline-Cysteine,1.722222464
Cysteine-Tryptophan-Lysine-Lysine-Lysine,1.449324093
Cysteine-Tryptophan-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine,1.966517176
Cysteine-Tryptophan-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine,2.204879334
Cysteine-Tryptophan-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine,2.621113938
Aspartic acid-Phenylalanine-Asparagine-Lysine-Phenylalanine-Histidine-Threonine-Phenylalanine-Proline-Glutamine-Threonine-Alanine-Isoleucine-Glycine-Valine-Glycine-Alanine-Proline,1.035029282
Aspartic acid-Proline-Alanine-Threonine-Asparagine-Proline-Glycine-Proline-Histidine-Phenylalanine-Proline-Arginine,0.612783857
Aspartic acid-Proline-Valine-Aspartic acid-Threonine-Proline-Asparagine-Proline-Threonine-Arginine-Arginine-Lysine-Proline-Glycine-Lysine,0.954724791
Aspartic acid-Arginine-Aspartic acid-Aspartic acid-Arginine-Aspartic acid-Aspartic acid-Arginine-Aspartic acid-Aspartic acid-Arginine-Aspartic acid-Aspartic acid-Arginine-Aspartic acid-Aspartic acid-Arginine,0.311753861
Aspartic acid-Arginine-Aspartic acid-Arginine-Aspartic acid-Arginine-Aspartic acid-Arginine-Aspartic acid-Arginine,-1.301029996
Aspartic acid-Arginine-Arginine-Arginine-Arginine-Glycine-Serine-Arginine-Proline-Serine-Glycine-Alanine-Glutamic acid-Arginine-Arginine-Arginine-Arginine,1.130333768
Aspartic acid-Arginine-Arginine-Arginine-Arginine-Glycine-Serine-Arginine-Proline-Serine-Glycine-Alanine-Glutamic acid-Arginine-Arginine-Arginine-Arginine-Arginine-Alanine-Alanine-Alanine-Alanine,1.137037455
Aspartic acid-Serine-Leucine-Lysine-Serine-Tyrosine-Tryptophan-Tyrosine-Leucine-Glutamine-Lysine-Phenylalanine-Serine-Tryptophan-Arginine,1.829303773
Aspartic acid-Threonine-Tryptophan-Alanine-Glycine-Valine-Glutamic acid-Alanine-Isoleucine-Isoleucine-Arginine-Isoleucine-Leucine-Glutamine-Glutamine-Leucine-Leucine-Phenylalanine-Isoleucine-Histidine-Phenylalanine-Arginine,1.882410684
Glutamic acid-Glutamic acid-Glutamic acid-Alanine-Alanine,0.485721426
Glutamic acid-Glutamic acid-Glutamic acid-Alanine-Alanine-Lysine-Lysine-Lysine,1.065579715
Glutamic acid-Leucine-Proline-Valine-Methionine,0.741151599
Glutamic acid-Proline-Aspartic acid-Asparagine-Tryptophan-Serine-Leucine-Aspartic acid-Phenylalanine-Proline-Arginine-Arginine,0.474216264
Glutamic acid-Arginine-Glutamic acid-Arginine-Glutamic acid-Arginine-Glutamic acid-Arginine-Glutamic acid-Arginine-Glutamic acid-Arginine-Glutamic acid-Arginine,0.318063335
Phenylalanine-Alanine-Proline-Tryptophan-Aspartic acid-Threonine-Alanine-Serine-Phenylalanine-Methionine-Leucine-Glycine,0.527629901
Phenylalanine-Aspartic acid-Proline-Phenylalanine-Phenylalanine-Tryptophan-Lysine-Tyrosine-Serine-Proline-Arginine-Aspartic acid,1.78490245
Phenylalanine-Isoleucine-Isoleucine-Phenylalanine-Arginine-Isoleucine-Alanine-Alanine-Serine-Histidine-Lysine-Lysine,2.433961745
Phenylalanine-Isoleucine-Arginine-Isoleucine-Glycine-Cysteine,1.90810954
Phenylalanine-Isoleucine-Threonine-Lysine-Alanine-Leucine-Glycine-Isoleucine-Serine-Tyrosine-Glycine-Arginine-Lysine-Lysine-Arginine-Arginine,1.780677274
Phenylalanine-Isoleucine-Threonine-Lysine-Alanine-Leucine-Glycine-Isoleucine-Serine-Tyrosine-Glycine-Arginine-Lysine-Lysine-Arginine-Arginine-Glutamine-Arginine-Arginine-Arginine-Proline-Proline-Glutamine,2.081203239
Phenylalanine-Lysine-Lysine-Phenylalanine-Arginine-Lysine-Phenylalanine,1.113943352
Phenylalanine-Leucine-Glycine-Lysine-Lysine-Phenylalanine-Lysine-Lysine-Tyrosine-Phenylalanine-Leucine-Glutamine-Leucine-Leucine-Lysine,2.463788507
Phenylalanine-Leucine-Isoleucine-Phenylalanine-Isoleucine-Arginine-Valine-Isoleucine-Cysteine-Isoleucine-Valine-Isoleucine-Alanine-Lysine-Leucine-Lysine-Alanine-Asparagine-Leucine-Methionine-Cysteine-Lysine-Threonine,1.496237545
Phenylalanine-Glutamine-Asparagine-Arginine-Arginine-Methionine-Lysine-Tryptophan-Lysine-Lysine,1.424391554
Phenylalanine-Glutamine-Proline-Tyrosine-Aspartic acid-Histidine-Proline-Alanine-Glutamic acid-Valine-Serine-Tyrosine,1.004321374
Phenylalanine-Threonine-Tyrosine-Lysine-Asparagine-Phenylalanine-Phenylalanine-Tryptophan-Leucine-Proline-Glutamic acid-Leucine,1.701395269
Phenylalanine-Valine-Threonine-Arginine-Glycine-Cysteine-Proline-Arginine-Arginine-Leucine-Valine-Alanine-Arginine-Leucine-Isoleucine-Arginine-Valine-Methionine-Valine-Proline-Arginine-Arginine,2.196203829
Glycine-Alanine-Leucine-Phenylalanine-Leucine-Glycine-Tryptophan-Leucine-Glycine-Alanine-Alanine-Glycine-Serine-Threonine-Methionine-Glycine-Alanine,0.930439595
Glycine-Alanine-Tyrosine-Aspartic acid-Leucine-Arginine-Arginine-Arginine-Glutamic acid-Arginine-Glutamine-Serine-Arginine-Leucine-Arginine-Arginine-Arginine-Glutamic acid-Arginine-Glutamine-Serine-Arginine,1.488550717
Glycine-Glutamic acid-Glutamine-Isoleucine-Alanine-Glutamine-Leucine-Isoleucine-Alanine-Glycine-Tyrosine-Isoleucine-Aspartic acid-Isoleucine-Isoleucine-Leucine-Lysine-Lysine-Lysine-Lysine-Serine-Lysine,2.291235611
Glycine-Lysine-Histidine-Arginine-Histidine-Glutamic acid-Arginine-Glycine-Histidine-Histidine-Arginine-Aspartic acid-Arginine-Arginine-Glutamic acid-Arginine,1.024485668
Glycine-Lysine-Isoleucine-Asparagine-Leucine-Lysine-Alanine-Leucine-Alanine-Alanine-Leucine-Alanine-Lysine-Lysine-Isoleucine-Leucine,2.073754998
Glycine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine,0.967547976
Glycine-Lysine-Lysine-Lysine-Lysine-Arginine-Lysine-Arginine-Glutamic acid-Lysine-Leucine,0.488550717
Glycine-Lysine-Lysine-Lysine-Arginine-Lysine-Leucine-Serine-Asparagine-Arginine-Glutamic acid-Serine-Alanine-Lysine-Arginine-Serine-Arginine,0.884795364
Glycine-Lysine-Lysine-Threonine-Asparagine-Leucine-Phenylalanine-Serine-Alanine-Leucine-Isoleucine-Lysine-Lysine-Lysine-Lysine-Threonine-Alanine,1.228913406
Glycine-Lysine-Arginine-Alanine-Arginine-Asparagine-Threonine-Glutamic acid-Alanine-Alanine-Arginine-Arginine-Serine-Arginine-Alanine-Arginine-Lysine-Leucine,1.371067862
Glycine-Lysine-Arginine-Lysine-Lysine-Lysine-Glycine-Lysine-Leucine-Glycine-Lysine-Lysine-Arginine-Aspartic acid-Proline,0.938019097
Glycine-Lysine-Arginine-Lysine-Lysine-Lysine-Glycine-Lysine-Leucine-Glycine-Lysine-Lysine-Arginine-Proline-Arginine-Serine-Arginine,1.728759475
Glycine-Lysine-Arginine-Arginine-Arginine-Arginine-Alanine-Threonine-Alanine-Lysine-Tyrosine-Arginine-Serine-Alanine-Histidine,1.377488383
Glycine-Lysine-Arginine-Valine-Alanine-Lysine-Arginine-Lysine-Leucine-Isoleucine-Glutamic acid-Glutamine-Asparagine-Arginine-Glutamic acid-Arginine-Arginine-Arginine,1.42357352
Glycine-Leucine-Phenylalanine-Glutamic acid-Alanine-Leucine-Leucine-Glutamic acid-Leucine-Leucine-Glutamic acid-Serine-Leucine-Tryptophan-Glutamic acid-Leucine-Leucine-Leucine-Glutamic acid-Alanine,1.94948759
Glycine-Leucine-Phenylalanine-Lysine-Alanine-Leucine-Leucine-Lysine-Leucine-Leucine-Lysine-Serine-Leucine-Tryptophan-Lysine-Leucine-Leucine-Leucine-Lysine-Alanine,2.514095958
Glycine-Leucine-Phenylalanine-Arginine-Alanine-Leucine-Leucine-Arginine-Leucine-Leucine-Arginine-Serine-Leucine-Tryptophan-Arginine-Leucine-Leucine-Leucine-Arginine-Alanine,1.942603249
Glycine-Leucine-Glycine-Serine-Leucine-Leucine-Lysine-Lysine-Alanine-Glycine-Lysine-Lysine-Leucine-Lysine-Glutamine-Proline-Lysine-Serine-Lysine-Arginine-Lysine-Valine,1.607133204
Glycine-Leucine-Arginine-Lysine-Arginine-Leucine-Arginine-Lysine-Phenylalanine-Arginine-Asparagine-Lysine-Isoleucine-Lysine-Glutamic acid-Lysine,1.642266619
Glycine-Leucine-Tryptophan-Arginine-Alanine-Leucine-Tryptophan-Arginine-Alanine-Leucine-Arginine-Serine-Leucine-Tryptophan-Lysine-Leucine-Lysine-Arginine-Lysine-Valine,2.585054446
Glycine-Leucine-Tryptophan-Arginine-Alanine-Leucine-Tryptophan-Arginine-Alanine-Leucine-Tryptophan-Arginine-Serine-Leucine-Tryptophan-Lysine-Lysine-Lysine-Arginine-Lysine-Valine,2.466941726
Glycine-Leucine-Tryptophan-Arginine-Alanine-Leucine-Tryptophan-Arginine-Alanine-Leucine-Tryptophan-Arginine-Serine-Leucine-Tryptophan-Lysine-Leucine-Lysine-Arginine-Lysine-Valine,2.434712581
Glycine-Leucine-Tryptophan-Arginine-Alanine-Leucine-Tryptophan-Arginine-Alanine-Leucine-Tryptophan-Arginine-Serine-Leucine-Tryptophan-Lysine-Leucine-Lysine-Tryptophan-Lysine-Valine,2.313044233
Glycine-Leucine-Tryptophan-Arginine-Alanine-Leucine-Tryptophan-Arginine-Alanine-Leucine-Tryptophan-Arginine-Serine-Leucine-Tryptophan-Lysine-Serine-Lysine-Arginine-Lysine-Valine,2.430768212
Glycine-Leucine-Tryptophan-Arginine-Alanine-Leucine-Tryptophan-Arginine-Glycine-Leucine-Arginine-Serine-Leucine-Tryptophan-Lysine-Lysine-Lysine-Arginine-Lysine-Valine,2.574228103
Glycine-Leucine-Tryptophan-Arginine-Alanine-Leucine-Tryptophan-Arginine-Glycine-Leucine-Arginine-Serine-Leucine-Tryptophan-Lysine-Leucine-Lysine-Arginine-Lysine-Valine,2.541154726
Glycine-Leucine-Tryptophan-Arginine-Alanine-Leucine-Tryptophan-Arginine-Leucine-Leucine-Arginine-Serine-Leucine-Tryptophan-Arginine-Leucine-Leucine-Tryptophan-Lysine-Alanine,1.686636269
Glycine-Leucine-Tryptophan-Arginine-Alanine-Leucine-Tryptophan-Arginine-Leucine-Leucine-Arginine-Serine-Leucine-Tryptophan-Arginine-Leucine-Leucine-Tryptophan-Arginine-Alanine,1.457276186
Glycine-Leucine-Tryptophan-Tryptophan-Arginine-Leucine-Tryptophan-Tryptophan-Arginine-Leucine-Arginine-Serine-Tryptophan-Phenylalanine-Arginine-Leucine-Tryptophan-Phenylalanine-Arginine-Alanine,1.365487985
Glycine-Proline-Phenylalanine-Histidine-Phenylalanine-Tyrosine-Glutamine-Phenylalanine-Leucine-Phenylalanine-Proline-Proline-Valine,1.589167391
Glycine-Arginine-Lysine-Glycine-Lysine-Histidine-Lysine-Arginine-Lysine-Lysine-Leucine-Proline,1.140508043
Glycine-Arginine-Lysine-Lysine-Arginine-Arginine-Glutamine-Arginine-Arginine-Proline-Proline-Glutamine-Cysteine,2.009663317
Glycine-Arginine-Lysine-Lysine-Arginine-Arginine-Glutamine-Arginine-Arginine-Arginine,1.466719372
Glycine-Arginine-Lysine-Lysine-Arginine-Arginine-Glutamine-Arginine-Arginine-Arginine-Cysteine,2.042299807
Glycine-Arginine-Lysine-Lysine-Arginine-Arginine-Glutamine-Arginine-Arginine-Arginine-Proline-Proline,1.450095076
Glycine-Arginine-Lysine-Lysine-Arginine-Arginine-Glutamine-Arginine-Arginine-Arginine-Proline-Proline-Glutamine,1.46834733
Glycine-Arginine-Lysine-Lysine-Arginine-Arginine-Glutamine-Arginine-Arginine-Arginine-Proline-Proline-Glutamine-Cysteine,2.233097688
Glycine-Arginine-Lysine-Lysine-Arginine-Arginine-Glutamine-Arginine-Arginine-Arginine-Proline-Tryptophan-Glutamine,1.932169246
Glycine-Arginine-Lysine-Leucine-Lysine-Lysine-Lysine-Lysine-Asparagine-Glutamic acid-Lysine-Glutamic acid-Aspartic acid-Lysine-Arginine-Proline-Arginine-Threonine,1.232233521
Glycine-Arginine-Lysine-Arginine-Lysine-Lysine-Arginine-Threonine,1.048053173
Glycine-Arginine-Proline-Arginine-Glutamic acid-Serine-Glycine-Lysine-Lysine-Arginine-Lysine-Arginine-Lysine-Arginine-Leucine-Lysine-Proline,1.482873584
Glycine-Arginine-Glutamine-Leucine-Arginine-Isoleucine-Alanine-Glycine-Lysine-Arginine-Leucine-Glutamic acid-Glycine-Arginine-Serine-Lysine,0.662757832
Glycine-Arginine-Glutamine-Leucine-Arginine-Isoleucine-Alanine-Glycine-Lysine-Arginine-Leucine-Arginine-Glycine-Arginine-Serine-Lysine,1.415474168
Glycine-Arginine-Glutamine-Leucine-Arginine-Isoleucine-Alanine-Glycine-Arginine-Arginine-Leucine-Arginine-Glycine-Arginine-Serine-Arginine,1.197556213
Glycine-Arginine-Glutamine-Leucine-Arginine-Isoleucine-Alanine-Glycine-Arginine-Arginine-Leucine-Arginine-Arginine-Arginine-Serine-Arginine,1.438700533
Glycine-Arginine-Glutamine-Leucine-Arginine-Arginine-Alanine-Glycine-Arginine-Arginine-Leucine-Arginine-Glycine-Arginine-Serine-Arginine,1.34869419
Glycine-Arginine-Glutamine-Leucine-Arginine-Arginine-Alanine-Glycine-Arginine-Arginine-Leucine-Arginine-Arginine-Arginine-Serine-Arginine,1.53869938
Glycine-Arginine-Arginine-Glutamic acid-Arginine-Asparagine-Lysine-Methionine-Alanine-Alanine-Alanine-Lysine-Cysteine-Arginine-Asparagine-Arginine-Arginine-Arginine,1.937568039
Glycine-Arginine-Arginine-Histidine-Histidine-Cysteine-Arginine-Serine-Lysine-Alanine-Lysine-Arginine-Serine-Arginine-Histidine-Histidine,1.886039276
Glycine-Arginine-Arginine-Arginine-Arginine-Alanine-Threonine-Alanine-Lysine-Tyrosine-Arginine-Threonine-Alanine-Histidine,1.545430829
Glycine-Arginine-Arginine-Arginine-Arginine-Lysine-Arginine-Leucine-Serine-Histidine-Arginine-Threonine,1.317227349
Glycine-Arginine-Arginine-Arginine-Arginine-Arginine-Glutamic acid-Arginine-Asparagine-Lysine,0.887054378
Glycine-Arginine-Arginine-Arginine-Arginine-Arginine-Arginine-Arginine-Arginine-Arginine-Proline-Proline-Glutamine,1.907411361
Glycine-Serine-Proline-Tryptophan-Glycine-Leucine-Glutamine-Histidine-Histidine-Proline-Proline-Arginine-Threonine,0.247973266
Glycine-Serine-Arginine-Histidine-Proline-Serine-Leucine-Isoleucine-Isoleucine-Proline-Arginine-Glutamine,0.7930916
Glycine-Tyrosine-Glycine-Asparagine-Cysteine-Arginine-Histidine-Phenylalanine-Lysine-Glutamine-Lysine-Proline-Arginine-Arginine-Aspartic acid,1.836577275
Glycine-Tyrosine-Glycine-Arginine-Lysine-Lysine-Arginine-Arginine-Glutamine-Arginine-Arginine-Arginine-Glycine,1.892428547
Histidine-Alanine-Arginine-Isoleucine-Lysine-Proline-Threonine-Phenylalanine-Arginine-Arginine-Leucine-Lysine-Tryptophan-Lysine-Tyrosine-Lysine-Glycine-Lysine-Phenylalanine-Tryptophan,2.016573746
Histidine-Phenylalanine-Alanine-Alanine-Tryptophan-Glycine-Glycine-Tryptophan-Serine-Leucine-Valine-Histidine,1.10002573
Histidine-Isoleucine-Glutamine-Leucine-Serine-Proline-Phenylalanine-Serine-Glutamine-Serine-Tryptophan-Arginine,1.298853076
Histidine-Proline-Glycine-Serine-Proline-Phenylalanine-Proline-Proline-Glutamic acid-Histidine-Arginine-Proline,0.547774705
Histidine-Glutamine-Histidine-Lysine-Proline-Proline-Proline-Leucine-Threonine-Asparagine-Asparagine-Tryptophan,0.824776462
Histidine-Arginine-Histidine-Isoleucine-Arginine-Arginine-Glutamine-Serine-Leucine-Isoleucine-Methionine-Leucine,1.39497672
Histidine-Tyrosine-Arginine-Isoleucine-Lysine-Proline-Threonine-Alanine-Arginine-Arginine-Leucine-Lysine-Tryptophan-Lysine-Tyrosine-Lysine-Glycine-Lysine-Phenylalanine-Tryptophan,1.903415586
Histidine-Tyrosine-Arginine-Isoleucine-Lysine-Proline-Threonine-Phenylalanine-Arginine-Arginine-Leucine-Alanine-Tryptophan-Lysine-Tyrosine-Lysine-Glycine-Lysine-Phenylalanine-Tryptophan,2.089693209
Histidine-Tyrosine-Arginine-Isoleucine-Lysine-Proline-Threonine-Phenylalanine-Arginine-Arginine-Leucine-Lysine-Tryptophan-Lysine-Tyrosine-Lysine-Glycine-Lysine-Phenylalanine-Alanine,1.952840857
Isoleucine-Alanine-Tryptophan-Valine-Lysine-Alanine-Phenylalanine-Isoleucine-Arginine-Lysine-Leucine-Arginine-Lysine-Glycine-Proline-Leucine-Glycine,2.201560978
Isoleucine-Glycine-Cysteine-Arginine-Histidine,0.977723605
Isoleucine-Isoleucine-Tyrosine-Arginine-Aspartic acid-Leucine-Isoleucine-Serine-Histidine,0.914871818
Isoleucine-Lysine-Isoleucine-Tryptophan-Phenylalanine-Glutamine-Asparagine-Arginine-Arginine-Methionine-Lysine-Tryptophan-Lysine-Lysine,2.273186532
Isoleucine-Proline-Alanine-Leucine-Lysine,0.631443769
Isoleucine-Proline-Methionine-Isoleucine-Lysine,0.633468456
Isoleucine-Proline-Methionine-Leucine-Lysine,1.181843588
Isoleucine-Proline-Serine-Arginine-Tryptophan-Lysine-Aspartic acid-Glutamine-Phenylalanine-Tryptophan-Lysine-Arginine-Tryptophan-Histidine-Tyrosine,2.064532861
Isoleucine-Tryptophan-Phenylalanine-Glutamine-Asparagine-Arginine-Arginine-Methionine-Lysine-Tryptophan-Lysine-Lysine,1.847942639
Isoleucine-Tyrosine-Arginine-Aspartic acid-Leucine-Isoleucine-Serine-Histidine,1.062957834
Lysine-Alanine-Leucine-Alanine-Alanine-Leucine-Leucine-Lysine-Lysine-Leucine-Alanine-Lysine-Leucine-Leucine-Alanine-Alanine-Leucine-Lysine,2.340662199
Lysine-Alanine-Leucine-Alanine-Alanine-Leucine-Leucine-Lysine-Lysine-Tryptophan-Alanine-Lysine-Leucine-Leucine-Alanine-Alanine-Leucine-Lysine,2.431283332
Lysine-Alanine-Leucine-Alanine-Lysine-Alanine-Leucine-Alanine-Lysine-Leucine-Tryptophan-Lysine-Alanine-Leucine-Alanine-Lysine-Alanine-Alanine,2.5385486
Lysine-Alanine-Leucine-Lysine-Lysine-Leucine-Leucine-Alanine-Lysine-Tryptophan-Leucine-Alanine-Alanine-Alanine-Lysine-Alanine-Leucine-Leucine,2.460702441
Lysine-Alanine-Leucine-Lysine-Leucine-Lysine-Leucine-Alanine-Leucine-Alanine-Leucine-Leucine-Alanine-Lysine-Leucine-Lysine-Leucine-Alanine,2.475147977
Lysine-Cysteine-Phenylalanine-Methionine-Tryptophan-Glutamine-Glutamic acid-Methionine-Leucine-Asparagine-Lysine-Alanine-Glycine-Valine-Proline-Lysine-Leucine-Arginine-Cysteine-Alanine-Arginine-Lysine,1.914660431
Lysine-Cysteine-Phenylalanine-Glutamine-Tryptophan-Glutamine-Arginine-Asparagine-Methionine-Arginine-Lysine-Valine-Arginine-Glycine-Proline-Proline-Valine-Serine-Cysteine,1.844477176
Lysine-Cysteine-Phenylalanine-Glutamine-Tryptophan-Glutamine-Arginine-Asparagine-Methionine-Arginine-Lysine-Valine-Arginine-Glycine-Proline-Proline-Valine-Serine-Cysteine-Isoleucine-Lysine-Arginine,1.962321973
Lysine-Cysteine-Proline-Serine-Arginine-Arginine-Proline-Lysine-Arginine,1.51401618
Lysine-Glutamic acid-Arginine-Lysine-Lysine-Arginine-Arginine-Arginine,1.277150614
Lysine-Glutamic acid-Threonine-Tryptophan-Phenylalanine-Glutamic acid-Threonine-Tryptophan-Phenylalanine-Threonine-Glutamic acid-Tryptophan-Serine-Glutamine-Proline-Lysine-Lysine-Lysine-Arginine-Lysine-Valine,1.718086295
Lysine-Glutamic acid-Threonine-Tryptophan-Tryptophan-Glutamic acid-Threonine-Tryptophan-Tryptophan-Threonine-Glutamic acid-Tryptophan-Serine-Glutamine-Proline-Lysine-Lysine-Lysine-Arginine-Lysine-Valine,1.980276141
Lysine-Phenylalanine-Histidine-Threonine-Phenylalanine-Proline-Glutamine-Threonine-Alanine-Isoleucine-Glycine-Valine-Glycine-Alanine-Proline,0.592176757
Lysine-Glycine-Glutamic acid-Glycine-Alanine-Alanine-Valine-Leucine-Leucine-Proline-Valine-Leucine-Leucine-Alanine-Alanine-Proline-Glycine,0.764176132
Lysine-Glycine-Lysine-Lysine-Isoleucine-Phenylalanine-Isoleucine-Methionine-Lysine,1.748265573
Lysine-Isoleucine-Tryptophan-Phenylalanine-Glutamine-Asparagine-Arginine-Arginine-Methionine-Lysine-Tryptophan-Lysine-Lysine,1.712481338
Lysine-Lysine-Isoleucine-Cysteine-Threonine-Arginine-Lysine-Proline-Arginine-Phenylalanine-Methionine-Serine-Alanine-Tryptophan-Alanine-Glutamine,1.95371138
Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine-Lysine,2.80072395
Lysine-Lysine-Proline-Glycine-Lysine-Lysine-Threonine-Threonine-Threonine-Lysine-Proline-Threonine-Lysine-Lysine,1.213517757
Lysine-Lysine-Proline-Glycine-Lysine-Lysine-Threonine-Threonine-Threonine-Lysine-Proline-Threonine-Lysine-Lysine-Proline-Threonine-Isoleucine-Lysine-Threonine-Threonine-Lysine-Lysine,1.079181246
Lysine-Lysine-Proline-Threonine-Isoleucine-Lysine-Threonine-Threonine-Lysine-Lysine,0.523746467
Lysine-Lysine-Threonine-Threonine-Threonine-Lysine-Proline-Threonine-Lysine-Lysine,0.348304863
Lysine-Lysine-Tryptophan-Lysine-Methionine-Arginine-Arginine-Asparagine-Glutamine-Phenylalanine-Tryptophan-Isoleucine-Lysine-Isoleucine-Glutamine-Arginine,1.914554699
Lysine-Leucine-Alanine-Alanine-Alanine-Leucine-Leucine-Lysine-Lysine-Tryptophan-Lysine-Lysine-Leucine-Alanine-Alanine-Alanine-Leucine-Leucine,2.526197074
Lysine-Leucine-Alanine-Leucine-Lysine-Leucine-Alanine-Leucine-Lysine-Alanine-Leucine-Lysine-Alanine-Alanine-Leucine-Lysine,2.679791171
Lysine-Leucine-Alanine-Leucine-Lysine-Leucine-Alanine-Leucine-Lysine-Alanine-Leucine-Lysine-Alanine-Alanine-Leucine-Lysine-Leucine-Alanine,2.643857172
Lysine-Leucine-Alanine-Leucine-Lysine-Leucine-Alanine-Leucine-Lysine-Alanine-Leucine-Lysine-Alanine-Alanine-Leucine-Lysine-Leucine-Alanine-Glycine-Cysteine,2.32261205
Lysine-Leucine-Alanine-Leucine-Lysine-Leucine-Alanine-Leucine-Lysine-Alanine-Leucine-Glutamine-Alanine-Alanine-Leucine-Glutamine-Leucine-Alanine,2.439616866
Lysine-Leucine-Alanine-Leucine-Lysine-Leucine-Alanine-Leucine-Lysine-Alanine-Tryptophan-Lysine-Alanine-Alanine-Leucine-Lysine-Leucine-Alanine,2.490436081
Lysine-Leucine-Alanine-Leucine-Glutamine-Leucine-Alanine-Leucine-Glutamine-Alanine-Leucine-Glutamine-Alanine-Alanine-Leucine-Glutamine-Leucine-Alanine,1.888965344
